SAP Substation Name,LCR Area,City served,Division,Owner
MONARCH SUB,Stockton,August,STOCKTON,PGE
MONROE SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
MONROE SUB,North Coast/North Bay,Larkfield-Wikiup,NORTH COAST,PGE
MONTA VISTA SUB,Greater Bay Area,Cupertino,DE ANZA,PGE
MONTAGUE SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
MONTAGUE SUB,Greater Bay Area,Milpitas,SAN JOSE,PGE
MONTE RIO SUB,North Coast/North Bay,Occidental,NORTH COAST,PGE
MONTE RIO SUB,North Coast/North Bay,Monte Rio,NORTH COAST,PGE
MONTE RIO SUB,North Coast/North Bay,Guerneville,NORTH COAST,PGE
MONTICELLO SUB,North Coast/North Bay,Winters,NORTH BAY,PGE
MORAGA SUB,Greater Bay Area,Orinda,DIABLO,PGE
MORAGA SUB,Greater Bay Area,Moraga,DIABLO,PGE
MORAGA SUB,Greater Bay Area,Lafayette,DIABLO,PGE
MORGAN HILL SUB,Greater Bay Area,San Martin,SAN JOSE,PGE
MORGAN HILL SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
MORGAN HILL SUB,Greater Bay Area,Morgan Hill,SAN JOSE,PGE
MORMON SUB,Stockton,Stockton,STOCKTON,PGE
MORMON SUB,Stockton,Garden Acres,STOCKTON,PGE
MORMON SUB,Stockton,Farmington,STOCKTON,PGE
MOSCONE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,nonPGE
MOUNTAIN VIEW SUB,Greater Bay Area,Sunnyvale,DE ANZA,PGE
MOUNTAIN VIEW SUB,Greater Bay Area,Palo Alto,DE ANZA,PGE
MOUNTAIN VIEW SUB,Greater Bay Area,Mountain View,DE ANZA,PGE
MOUNTAIN VIEW SUB,Greater Bay Area,Los Altos,DE ANZA,PGE
MT EDEN SUB,Greater Bay Area,Union City,MISSION,PGE
MT EDEN SUB,Greater Bay Area,Hayward,MISSION,PGE
MT. QUARRIES SUB,Sierra,Georgetown,SIERRA,PGE
NAPA SUB,North Coast/North Bay,Napa,NORTH BAY,PGE
NAPA SUB,North Coast/North Bay,Green Valley,NORTH BAY,PGE
NARROWS,Sierra,Mooney Flat,SIERRA,PGE
NARROWS #1 PH,Sierra,Mooney Flat,SIERRA,PGE
NEWARK DIST SUB,Greater Bay Area,Fremont,MISSION,PGE
NEWARK SUB,Greater Bay Area,Newark,MISSION,PGE
NEWARK SUB,Greater Bay Area,Fremont,MISSION,PGE
NEWBURG SUB,Humboldt,Hydesville,HUMBOLDT,PGE
NEWBURG SUB,Humboldt,Fortuna,HUMBOLDT,PGE
NEWCASTLE PH,Sierra,Auburn,SIERRA,PGE
NEWHALL SUB,Greater Fresno,Firebaugh,YOSEMITE,PGE
NEWMAN SUB,Stockton,Newman,YOSEMITE,PGE
NORIEGA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
NORTECH SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
NORTH DUBLIN SUB,Greater Bay Area,Pleasanton,MISSION,nonPGE
NORTH DUBLIN SUB,Greater Bay Area,Dublin,MISSION,nonPGE
NORTH MERCED,Greater Fresno,,,
NORTH TOWER SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE
NORTH TOWER SUB,North Coast/North Bay,Rodeo,NORTH BAY,PGE
NORTH TOWER SUB,North Coast/North Bay,Crockett,NORTH BAY,PGE
NORTH TOWER SUB,North Coast/North Bay,Benicia,NORTH BAY,PGE
NOVATO SUB,North Coast/North Bay,Novato,NORTH BAY,PGE
NOVATO SUB,North Coast/North Bay,Black Point-Green Point,NORTH BAY,PGE
OAK PARK SUB,Stockton,Stockton,STOCKTON,PGE
OAK SUB,Greater Bay Area,Kensington,EAST BAY,PGE
OAK SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
OAK SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
OAKHURST SUB,Greater Fresno,Oakhurst,YOSEMITE,PGE
OAKLAND C PP SUB,Greater Bay Area,Oakland,EAST BAY,nonPGE
OAKLAND D SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND D SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND D SUB,Greater Bay Area,Emeryville,EAST BAY,PGE
OAKLAND D SUB,Greater Bay Area,Emeryville,EAST BAY,PGE
OAKLAND D SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
OAKLAND I SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND I SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND J SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND J SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND K (CLAREMONT) SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND K (CLAREMONT) SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND K (CLAREMONT) SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
OAKLAND L SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND L SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND L SUB,Greater Bay Area,Emeryville,EAST BAY,PGE
OAKLAND P SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKLAND X SUB,Greater Bay Area,Piedmont,EAST BAY,PGE
OAKLAND X SUB,Greater Bay Area,Oakland,EAST BAY,PGE
OAKMONT NORTH SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
OAKMONT SOUTH SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
OCEAN AVE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
OIL CITY (SHELL OIL CO) SUB,Greater Fresno,Kings County,FRESNO,nonPGE
OLD RIVER SUB,Kern,Knob Hill,KERN,PGE
OLEMA SUB,North Coast/North Bay,Point Reyes Station,NORTH BAY,PGE
OLEMA SUB,North Coast/North Bay,Inverness,NORTH BAY,PGE
OLEUM PP SUB,Greater Bay Area,Rodeo,DIABLO,PGE
OLIVEHURST SUB,Sierra,Olivehurst,SIERRA,PGE
OLIVEHURST SUB,Sierra,Linda,SIERRA,PGE
O'NEIL PGP (WPRS) SUB,Greater Fresno,Merced County,FRESNO,nonPGE
ORICK SUB,Humboldt,Orick,HUMBOLDT,PGE
ORINDA SUB,Greater Bay Area,Orinda,DIABLO,PGE
ORIOLE SUB,Greater Bay Area,San Leandro,MISSION,PGE
ORIOLE SUB,Greater Bay Area,Ashland,MISSION,PGE
ORO LOMA SUB,Greater Fresno,South Dos Palos,YOSEMITE,PGE
OROSI SUB,Greater Fresno,Orosi,FRESNO,PGE
OROSI SUB,Greater Fresno,East Orosi,FRESNO,PGE
OROSI SUB,Greater Fresno,Cutler,FRESNO,PGE
OROVILLE SUB,Sierra,Thermalito,NORTH VALLEY,PGE
OROVILLE SUB,Sierra,South Oroville,NORTH VALLEY,PGE
OROVILLE SUB,Sierra,Oroville East,NORTH VALLEY,PGE
OROVILLE SUB,Sierra,Oroville,NORTH VALLEY,PGE
ORTIGA SUB,Greater Fresno,Los Banos,YOSEMITE,PGE
OWENS ILLINOIS SUB,Stockton,Tracy,STOCKTON,nonPGE
OXFORD SUB,Greater Fresno,Fresno County,FRESNO,PGE
P.P.G. SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
PACHECO PUMPING PLANT SUB,Greater Fresno,Merced County,FRESNO,nonPGE
PACHECO WIND POWER,Greater Fresno,Los Banos,YOSEMITE,nonPGE
PACIFIC LUMBER (CARLOTTA),Humboldt,Humboldt County,HUMBOLDT,nonPGE
PACIFIC LUMBER (SCOTIA),Humboldt,Humboldt County,HUMBOLDT,nonPGE
PACIFIC OROVILLE POWER,Sierra,Oroville,NORTH VALLEY,nonPGE
PACIFICA SUB,Greater Bay Area,Pacifica,PENINSULA,PGE
PACIFICA SUB,Greater Bay Area,Montara,PENINSULA,PGE
PALERMO SUB,Sierra,Palermo,NORTH VALLEY,PGE
PALO SECO SUB,Greater Bay Area,Piedmont,EAST BAY,PGE
PALO SECO SUB,Greater Bay Area,Oakland,EAST BAY,PGE
PANAMA SUB,Kern,Bakersfield,KERN,PGE
PANOCHE SUB,Greater Fresno,Mendota,YOSEMITE,PGE
PARKWAY SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE
PARLIER SUB,Greater Fresno,Selma,FRESNO,PGE
PARLIER SUB,Greater Fresno,Parlier,FRESNO,PGE
PARSONS SUB,Greater Bay Area,Castro Valley,MISSION,PGE
PATTERSON PASS SUB,Greater Bay Area,Livermore,STOCKTON,nonPGE
PEASE SUB,Sierra,Yuba City,SIERRA,PGE
PEASE SUB,Sierra,Tierra Buena,SIERRA,PGE
PEASE SUB,Sierra,Sutter,SIERRA,PGE
PENN ZIER SUB,Greater Fresno,Coalinga,FRESNO,nonPGE
PENNGROVE SUB,North Coast/North Bay,Rohnert Park,NORTH COAST,PGE
PENRYN SUB,Sierra,Rocklin,SIERRA,PGE
PENRYN SUB,Sierra,Loomis,SIERRA,PGE
PENRYN SUB,Sierra,Granite Bay,SIERRA,PGE
PEORIA SUB,Stockton,Jamestown,YOSEMITE,PGE
PEORIA SUB,Stockton,Sonora,YOSEMITE,PGE
PEORIA SUB,Stockton,Jamestown,YOSEMITE,PGE
PEORIA SUB,Stockton,Groveland-Big Oak Flat,YOSEMITE,PGE
PEORIA SUB,Stockton,Copperopolis,YOSEMITE,PGE
PEORIA SUB,Stockton,Chinese Camp,YOSEMITE,PGE
PETALUMA A SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE
PETALUMA C SUB,North Coast/North Bay,Petaluma,NORTH COAST,PGE
PETROL SUB,Kern,Bakersfield,KERN,PGE
PHILO SUB,North Coast/North Bay,Philo,NORTH COAST,PGE
PIERCY SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
PIKE CITY SUB,Sierra,Camptonville,SIERRA,PGE
PINEDALE SUB,Greater Fresno,Fresno,FRESNO,PGE
PINEDALE SUB,Greater Fresno,Clovis,FRESNO,PGE
PIPER BANK SUB,Greater Bay Area,Bethel Island,DIABLO,nonPGE
PITTSBURG PP SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE
PITTSBURG SUB,Greater Bay Area,Pittsburg,DIABLO,PGE
PLACER COUNTY SUB,Sierra,Forest Hill,SIERRA,nonPGE
PLACER SUB,Sierra,North Auburn,SIERRA,PGE
PLACER SUB,Sierra,Auburn,SIERRA,PGE
PLACERVILLE SUB,Sierra,Placerville,SIERRA,PGE
PLACERVILLE SUB,Sierra,Georgetown,SIERRA,PGE
PLACERVILLE SUB,Sierra,Diamond Springs,SIERRA,PGE
PLEASANT GROVE SUB,Sierra,Roseville,SIERRA,PGE
PLEASANT GROVE SUB,Sierra,Rocklin,SIERRA,PGE
PLEASANT GROVE SUB,Sierra,Lincoln,SIERRA,PGE
PLEASANT HILL SUB,Greater Bay Area,Pleasant Hill,DIABLO,PGE
PLUMAS SUB,Sierra,Olivehurst,SIERRA,PGE
PLYMOUTH SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
PLYMOUTH SUB,Greater Bay Area,Daly City,SAN FRANCISCO,PGE
POE PH,Sierra,Concow,NORTH VALLEY,PGE
POINT ARENA SUB,North Coast/North Bay,Point Arena,HUMBOLDT,PGE
POINT MORETTI SUB,Greater Bay Area,Davenport,CENTRAL COAST,PGE
POINT PINOLE SUB,Greater Bay Area,Tara Hills,EAST BAY,PGE
POINT PINOLE SUB,Greater Bay Area,San Pablo,EAST BAY,PGE
POINT PINOLE SUB,Greater Bay Area,Richmond,EAST BAY,PGE
POINT PINOLE SUB,Greater Bay Area,Pinole,EAST BAY,PGE
POINT PINOLE SUB,Greater Bay Area,Bayview-Montalvin,EAST BAY,PGE
PORT COSTA BRICK SUB,Greater Bay Area,Port Costa,DIABLO,nonPGE
PORT OF STOCKTON,Stockton,Stockton,STOCKTON,nonPGE
PORTOLA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
POSCO SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE
POSO MOUNTAIN SUB,Kern,Kern,KERN,PGE
POTTER VALLEY PH SUB,North Coast/North Bay,Potter Valley,NORTH COAST,PGE
PRAXAIR SUB,Greater Bay Area,Pittsburg,DIABLO,nonPGE
PUEBLO SUB,North Coast/North Bay,Yountville,NORTH BAY,PGE
PUEBLO SUB,North Coast/North Bay,Napa,NORTH BAY,PGE
RACETRACK SUB,Stockton,Sonora,YOSEMITE,PGE
RACETRACK SUB,Stockton,Columbia,YOSEMITE,PGE
RADUM SUB,Greater Bay Area,Sunol,MISSION,PGE
RADUM SUB,Greater Bay Area,Pleasanton,MISSION,PGE
RAGU SUB,Stockton,Stockton,STOCKTON,PGE
RAINBOW SUB,Greater Fresno,Sanger,FRESNO,PGE
RALSTON SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
RALSTON SUB,Greater Bay Area,San Carlos,PENINSULA,PGE
RALSTON SUB,Greater Bay Area,Highlands-Baywood Park,PENINSULA,PGE
RALSTON SUB,Greater Bay Area,Belmont,PENINSULA,PGE
RANCHERS COTTON SUB,Greater Fresno,Fresno,FRESNO,nonPGE
RANDOLPH SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
RAVENSWOOD SUB,Greater Bay Area,Menlo Park,PENINSULA,PGE
RECLAMATION DIST 1500 (CARNACK) SUB,Sierra,Woodland,SACRAMENTO,PGE
REDBUD SUB,North Coast/North Bay,Clearlake Oaks,NORTH COAST,PGE
REDBUD SUB,North Coast/North Bay,Clearlake,NORTH COAST,PGE
REDWOOD CITY SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
REDWOOD CITY SUB,Greater Bay Area,North Fair Oaks,PENINSULA,PGE
REDWOOD CITY SUB,Greater Bay Area,Atherton,PENINSULA,PGE
REEDLEY SUB,Greater Fresno,Squaw Valley,FRESNO,PGE
REEDLEY SUB,Greater Fresno,Reedley,FRESNO,PGE
REEDLEY SUB,Greater Fresno,Orange Cove,FRESNO,PGE
REEDLEY SUB,Greater Fresno,Dinuba,FRESNO,PGE
RESEARCH SUB,Greater Bay Area,San Ramon,DIABLO,PGE
RESEARCH SUB,Greater Bay Area,Danville,DIABLO,PGE
RESERVE OIL SUB,Greater Fresno,Hanford,FRESNO,PGE
RICHMOND Q SUB,Greater Bay Area,Richmond,EAST BAY,PGE
RICHMOND Q SUB,Greater Bay Area,Richmond,EAST BAY,PGE
RICHMOND R SUB,Greater Bay Area,Richmond,EAST BAY,PGE
RICHMOND R SUB,Greater Bay Area,San Pablo,EAST BAY,PGE
RICHMOND R SUB,Greater Bay Area,Rollingwood,EAST BAY,PGE
RICHMOND R SUB,Greater Bay Area,Richmond,EAST BAY,PGE
RICHMOND R SUB,Greater Bay Area,El Cerrito,EAST BAY,PGE
RIDGE SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
RINCON SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
RIO BRAVO (FRESNO) SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
RIO BRAVO (ROCKLIN),Sierra,Lincoln,SIERRA,nonPGE
RIO BRAVO HYDRO CO-GEN,Kern,Kern County,KERN,nonPGE
RIO DELL SUB,Humboldt,Rio Dell,HUMBOLDT,PGE
RIO OSO SUB,Sierra,Rio Oso,SIERRA,PGE
RIPON SUB,Stockton,Ripon,STOCKTON,PGE
RIPON SUB,Stockton,Manteca,STOCKTON,PGE
RIVER BANK JCT SW STATION,Stockton,Stanislaus County,YOSEMITE,PGE
RIVER OAKS SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
RIVER ROCK SUB,Greater Fresno,Fresno,FRESNO,PGE
RIVERBANK SUB,Stockton,Riverbank,YOSEMITE,PGE
RIVERBANK SUB,Stockton,Oakdale,YOSEMITE,PGE
RIVERBANK SUB,Stockton,Farmington,YOSEMITE,PGE
RIVERBANK SUB,Stockton,Escalon,YOSEMITE,PGE
RIVERBANK SUB,Stockton,East Oakdale,YOSEMITE,PGE
ROBLES SUB,Greater Bay Area,Alamo,DIABLO,PGE
ROCK CREEK PH,Sierra,Belden,NORTH VALLEY,PGE
ROCKLIN SUB,Sierra,Roseville,SIERRA,PGE
ROCKLIN SUB,Sierra,Rocklin,SIERRA,PGE
ROCKLIN SUB,Sierra,Loomis,SIERRA,PGE
ROSEDALE SUB,Kern,Bakersfield,KERN,PGE
ROSEDALE SUB,Kern,Oildale,KERN,PGE
ROSSMOOR SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
ROSSMOOR SUB,Greater Bay Area,Moraga,DIABLO,PGE
ROSSMOOR SUB,Greater Bay Area,Lafayette,DIABLO,PGE
ROSSMOOR SUB,Greater Bay Area,Alamo,DIABLO,PGE
ROUGH & READY ISLAND SUB,Stockton,Stockton,STOCKTON,PGE
RUCKER SUB,Greater Bay Area,Gilroy,SAN JOSE,PGE
RUSS RANCH SUB,Humboldt,Blue Lake,HUMBOLDT,PGE
RUSSELL SUB,Greater Bay Area,Oakland,EAST BAY,nonPGE
RUSSELL SUB,Greater Bay Area,Berkeley,EAST BAY,nonPGE
SAFEWAY SUB,Stockton,Tracy,STOCKTON,nonPGE
SALADO SUB,Stockton,Patterson,YOSEMITE,PGE
SALMON CREEK SUB,North Coast/North Bay,Bodega Bay,NORTH COAST,PGE
SAN ANDREAS SUB,Greater Bay Area,Millbrae,PENINSULA,PGE
SAN ANSELMO SUB,North Coast/North Bay,San Anselmo,NORTH BAY,PGE
SAN BRUNO SUB,Greater Bay Area,San Bruno,PENINSULA,PGE
SAN CARLOS SUB,Greater Bay Area,San Carlos,PENINSULA,PGE
SAN CARLOS SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
SAN CARLOS SUB,Greater Bay Area,Emerald Lake Hills,PENINSULA,PGE
SAN FRAN A (POTRERO PP) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN A (POTRERO PP) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN AIRPORT SUB,Greater Bay Area,San Bruno,PENINSULA,PGE
SAN FRAN E SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN F (MARINA) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN G SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN H (MARTIN) SUB,Greater Bay Area,San Francisco,PENINSULA,PGE
SAN FRAN H (MARTIN) SUB,Greater Bay Area,Daly City,PENINSULA,PGE
SAN FRAN H (MARTIN) SUB,Greater Bay Area,Brisbane,PENINSULA,PGE
SAN FRAN I SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN J SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN K SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN L SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN M SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN N SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN P(HUNTERS POINT) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN W (BAYSHORE) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN X (MISSION) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN Y (LARKIN) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN FRAN Z (EMBARCADERO) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SAN JOAQUIN JCT SUB,Greater Fresno,Fresno County,FRESNO,PGE
SAN JOAQUIN SUB,Greater Fresno,Tranquillity,FRESNO,PGE
SAN JOAQUIN SUB,Greater Fresno,San Joaquin,FRESNO,PGE
SAN JOSE A SUB,Greater Bay Area,Sunol-Midtown,SAN JOSE,PGE
SAN JOSE A SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
SAN JOSE A SUB,Greater Bay Area,Burbank,SAN JOSE,PGE
SAN JOSE A SUB,Greater Bay Area,Buena Vista,SAN JOSE,PGE
SAN JOSE B SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
SAN JOSE B SUB,Greater Bay Area,Burbank,SAN JOSE,PGE
SAN JOSE B SUB,Greater Bay Area,Buena Vista,SAN JOSE,PGE
SAN LEANDRO U SUB,Greater Bay Area,San Lorenzo,MISSION,PGE
SAN LEANDRO U SUB,Greater Bay Area,San Leandro,MISSION,PGE
SAN LEANDRO U SUB,Greater Bay Area,Oakland,MISSION,PGE
SAN LEANDRO U SUB,Greater Bay Area,Cherryland,MISSION,PGE
SAN LEANDRO U SUB,Greater Bay Area,Castro Valley,MISSION,PGE
SAN LEANDRO U SUB,Greater Bay Area,Ashland,MISSION,PGE
SAN LORENZO SUB,Greater Bay Area,San Lorenzo,MISSION,PGE
SAN LUIS #3 SUB,Greater Fresno,Los Banos,YOSEMITE,PGE
SAN LUIS #5 SUB,Greater Fresno,Los Banos,YOSEMITE,PGE
SAN MARTIN SUB,Greater Bay Area,San Martin,SAN JOSE,PGE
SAN MATEO SUB,Greater Bay Area,San Mateo,PENINSULA,PGE
SAN MATEO SUB,Greater Bay Area,Hillsborough,PENINSULA,PGE
SAN MATEO SUB,Greater Bay Area,Foster City,PENINSULA,PGE
SAN MATEO SUB,Greater Bay Area,Burlingame,PENINSULA,PGE
SAN PABLO SUB,Greater Bay Area,San Pablo,EAST BAY,PGE
SAN PABLO SUB,Greater Bay Area,Rollingwood,EAST BAY,PGE
SAN PABLO SUB,Greater Bay Area,Richmond,EAST BAY,PGE
SAN PABLO SUB,Greater Bay Area,Pinole,EAST BAY,PGE
SAN PABLO SUB,Greater Bay Area,El Sobrante,EAST BAY,PGE
SAN RAFAEL SUB,North Coast/North Bay,Santa Venetia,NORTH BAY,PGE
SAN RAFAEL SUB,North Coast/North Bay,San Rafael,NORTH BAY,PGE
SAN RAFAEL SUB,North Coast/North Bay,San Anselmo,NORTH BAY,PGE
SAN RAFAEL SUB,North Coast/North Bay,Ross,NORTH BAY,PGE
SAN RAFAEL SUB,North Coast/North Bay,Larkspur,NORTH BAY,PGE
SAN RAFAEL SUB,North Coast/North Bay,Kentfield,NORTH BAY,PGE
SAN RAFAEL SUB,North Coast/North Bay,Fairfax,NORTH BAY,PGE
SAN RAMON SUB,Greater Bay Area,San Ramon,MISSION,PGE
SAN RAMON SUB,Greater Bay Area,Pleasanton,MISSION,PGE
SAN RAMON SUB,Greater Bay Area,Dublin,MISSION,PGE
SAN RAMON SUB,Greater Bay Area,Danville,MISSION,PGE
SAN RAMON SUB,Greater Bay Area,Castro Valley,MISSION,PGE
SAN RAMON SUB,Greater Bay Area,Alamo,MISSION,PGE
SAND CREEK SUB,Greater Fresno,Squaw Valley,FRESNO,PGE
SAND DRAG PV SOLAR SUB,Greater Fresno,Avenal,FRESNO,nonPGE
SANGER SUB,Greater Fresno,Sanger,FRESNO,PGE
SANGER SUB,Greater Fresno,Kingsburg,FRESNO,PGE
SANGER SUB,Greater Fresno,Fresno,FRESNO,PGE
SANGER SUB,Greater Fresno,Del Rey,FRESNO,PGE
SANTA FE ENERGY SUB,Kern,Kern County,KERN,nonPGE
SANTA FE-KERN RIVER SUB,Kern,Kern County,KERN,nonPGE
SANTA NELLA SUB,Greater Fresno,Santa Nella,YOSEMITE,PGE
SANTA RITA SUB,Greater Fresno,Dos Palos,YOSEMITE,PGE
SANTA ROSA A SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
SANTA ROSA A SUB,North Coast/North Bay,Roseland,NORTH COAST,PGE
SANTA ROSA B SUB,North Coast/North Bay,Santa Rosa,NORTH COAST,PGE
SARANAP SUB,Greater Bay Area,Walnut Creek,DIABLO,PGE
SARATOGA SUB,Greater Bay Area,Saratoga,DE ANZA,PGE
SARATOGA SUB,Greater Bay Area,San Jose,DE ANZA,PGE
SARATOGA SUB,Greater Bay Area,Monte Sereno,DE ANZA,PGE
SARATOGA SUB,Greater Bay Area,Los Gatos,DE ANZA,PGE
SARATOGA SUB,Greater Bay Area,Cupertino,DE ANZA,PGE
SARATOGA SUB,Greater Bay Area,Campbell,DE ANZA,PGE
SAUSALITO SUB,North Coast/North Bay,Tamalpais-Homestead Valley,NORTH BAY,PGE
SAUSALITO SUB,North Coast/North Bay,Sausalito,NORTH BAY,PGE
SAXON CREEK SUB,Greater Fresno,Madera County,FRESNO,nonPGE
SC JOHNSON WAX SUB,Greater Fresno,Fresno County,FRESNO,nonPGE
SCHINDLER SUB,Greater Fresno,Five Points,FRESNO,PGE
SCHINDLER SUB,Greater Fresno,Five Points,FRESNO,PGE
SEMINARY SUB,Greater Bay Area,Oakland,EAST BAY,PGE
SENTER SUB,Greater Bay Area,San Jose,SAN JOSE,PGE
SERRAMONTE SUB,Greater Bay Area,South San Francisco,PENINSULA,PGE
SERRAMONTE SUB,Greater Bay Area,San Bruno,PENINSULA,PGE
SERRAMONTE SUB,Greater Bay Area,Pacifica,PENINSULA,PGE
SERRAMONTE SUB,Greater Bay Area,Daly City,PENINSULA,PGE
SHADY GLEN SUB,Sierra,Colfax,SIERRA,PGE
SHARON PRISON SUB,Greater Fresno,Madera County,FRESNO,PGE
SHEPHERD SUB,Greater Fresno,Clovis,FRESNO,PGE
SHINGLE SPRINGS SUB,Sierra,Shingle Springs,SIERRA,PGE
SHINGLE SPRINGS SUB,Sierra,Cameron Park,SIERRA,PGE
SHORE ACRES BANK SUB,Greater Bay Area,Bay Point,DIABLO,nonPGE
SHREDDER SUB,Greater Bay Area,Redwood City,PENINSULA,PGE
SIERRA PACIFIC (LINCOLN),Sierra,Lincoln,SIERRA,nonPGE
SIERRA PACIFIC INDUSTRIES CHINESE STATION SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE
SIERRA PACIFIC LUMBER,Humboldt,Humboldt County,HUMBOLDT,nonPGE
SIERRA PINE SUB,Sierra,Loomis,SIERRA,nonPGE
SIERRA ULTRA CHINESE STATION SUB,Stockton,Stanislaus County,YOSEMITE,nonPGE
SILVER (AVENUE) SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SILVERADO SUB,North Coast/North Bay,St. Helena,NORTH BAY,PGE
SILVERADO SUB,North Coast/North Bay,Deer Park,NORTH BAY,PGE
SILVERADO SUB,North Coast/North Bay,Angwin,NORTH BAY,PGE
SIMPSON HUMBOLDT,Humboldt,Fairhaven,HUMBOLDT,nonPGE
SIMPSON-KORBEL (BLUE LAKE),Humboldt,Humboldt County,HUMBOLDT,nonPGE
SINCLAIR SUB,Greater Bay Area,Concord,DIABLO,PGE
SIXTH AVE SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE
SJ NO.1A PH SUB,Greater Fresno,Madera County,FRESNO,PGE
SJ NO.2 PH SUB,Greater Fresno,Madera County,FRESNO,PGE
SJ NO.3 PH SUB,Greater Fresno,Madera County,FRESNO,PGE
SJVE EL NIDO SUB,Greater Fresno,Merced County,FRESNO,nonPGE
SKAGGS ISLAND SUB,North Coast/North Bay,Skaggs Island,NORTH BAY,PGE
SMARTVILLE SUB,Sierra,Smartville,SIERRA,PGE
SNEATH LANE SUB,Greater Bay Area,South San Francisco,PENINSULA,PGE
SNEATH LANE SUB,Greater Bay Area,San Bruno,PENINSULA,PGE
SNEATH LANE SUB,Greater Bay Area,Pacifica,PENINSULA,PGE
SNEATH LANE SUB,Greater Bay Area,Daly City,PENINSULA,PGE
SOBRANTE SUB,Greater Bay Area,Orinda,DIABLO,PGE
SOBRANTE SUB,Greater Bay Area,Lafayette,DIABLO,PGE
SOLANO SUB,Greater Bay Area,Berkeley,EAST BAY,PGE
